citizen_id,total_reports,valid_reports,invalid_reports,duplicate_reports,fake_image_count,avg_severity_reported,reports_last_30_days,trust_label,valid_ratio,duplicate_rate,fake_image_ratio
1,11,8,3,0,0,2.95,2,1,0.7272727272727273,0.0,0.0
2,9,7,2,1,0,1.25,2,1,0.7777777777777778,0.1111111111111111,0.0
3,15,12,3,1,0,1.05,2,1,0.8,0.06666666666666667,0.0
4,6,5,1,1,0,1.53,1,1,0.8333333333333334,0.16666666666666666,0.0
5,16,12,4,0,0,2.31,1,1,0.75,0.0,0.0
6,16,12,4,0,0,2.53,2,1,0.75,0.0,0.0
7,14,13,1,1,0,2.96,1,1,0.9285714285714286,0.07142857142857142,0.0
8,7,6,1,0,0,1.12,0,1,0.8571428571428571,0.0,0.0
9,7,5,2,0,0,1.16,0,1,0.7142857142857143,0.0,0.0
10,8,6,2,1,0,3.02,1,1,0.75,0.125,0.0
11,13,11,2,0,0,2.71,1,1,0.8461538461538461,0.0,0.0
12,19,18,1,0,0,3.08,0,1,0.9473684210526315,0.0,0.0
13,7,6,1,0,0,2.66,1,1,0.8571428571428571,0.0,0.0
14,6,5,1,1,0,2.37,1,1,0.8333333333333334,0.16666666666666666,0.0
15,10,8,2,0,0,2.94,1,1,0.8,0.0,0.0
16,6,5,1,1,0,2.82,1,1,0.8333333333333334,0.16666666666666666,0.0
17,19,18,1,1,0,2.3,2,1,0.9473684210526315,0.05263157894736842,0.0
18,18,17,1,0,0,1.68,0,1,0.9444444444444444,0.0,0.0
19,9,8,1,1,0,1.7,0,1,0.8888888888888888,0.1111111111111111,0.0
20,16,12,4,0,0,3.01,0,1,0.75,0.0,0.0
21,5,4,1,0,0,2.06,2,1,0.8,0.0,0.0
22,5,4,1,1,0,3.04,2,1,0.8,0.2,0.0
23,5,4,1,1,0,2.98,2,1,0.8,0.2,0.0
24,15,12,3,1,0,2.63,2,1,0.8,0.06666666666666667,0.0
25,16,14,2,0,0,1.24,1,1,0.875,0.0,0.0
26,11,10,1,1,0,2.82,0,1,0.9090909090909091,0.09090909090909091,0.0
27,12,10,2,0,0,2.18,2,1,0.8333333333333334,0.0,0.0
28,9,7,2,1,0,2.9,2,1,0.7777777777777778,0.1111111111111111,0.0
29,14,13,1,0,0,2.23,1,1,0.9285714285714286,0.0,0.0
30,13,12,1,0,0,1.06,1,1,0.9230769230769231,0.0,0.0
31,17,15,2,0,0,2.19,2,1,0.8823529411764706,0.0,0.0
32,17,16,1,1,0,1.35,1,1,0.9411764705882353,0.058823529411764705,0.0
33,11,8,3,0,0,1.51,2,1,0.7272727272727273,0.0,0.0
34,17,16,1,0,0,2.74,2,1,0.9411764705882353,0.0,0.0
35,16,13,3,1,0,1.74,0,1,0.8125,0.0625,0.0
36,9,8,1,1,0,3.21,1,1,0.8888888888888888,0.1111111111111111,0.0
37,14,13,1,1,0,1.8,0,1,0.9285714285714286,0.07142857142857142,0.0
38,5,4,1,0,0,2.62,0,1,0.8,0.0,0.0
39,13,10,3,0,0,1.02,2,1,0.7692307692307693,0.0,0.0
40,12,11,1,0,0,1.56,1,1,0.9166666666666666,0.0,0.0
41,7,6,1,1,0,1.42,2,1,0.8571428571428571,0.14285714285714285,0.0
42,12,9,3,1,0,1.16,0,1,0.75,0.08333333333333333,0.0
43,14,12,2,0,0,2.78,1,1,0.8571428571428571,0.0,0.0
44,9,7,2,1,0,1.67,0,1,0.7777777777777778,0.1111111111111111,0.0
45,6,5,1,1,0,1.08,1,1,0.8333333333333334,0.16666666666666666,0.0
46,5,4,1,0,0,2.7,2,1,0.8,0.0,0.0
47,9,8,1,1,0,1.61,1,1,0.8888888888888888,0.1111111111111111,0.0
48,8,6,2,0,0,1.61,2,1,0.75,0.0,0.0
49,10,9,1,0,0,2.58,1,1,0.9,0.0,0.0
50,15,14,1,1,0,1.38,0,1,0.9333333333333333,0.06666666666666667,0.0
51,15,13,2,1,0,3.15,0,1,0.8666666666666667,0.06666666666666667,0.0
52,16,14,2,1,0,2.78,2,1,0.875,0.0625,0.0
53,19,17,2,1,0,1.44,2,1,0.8947368421052632,0.05263157894736842,0.0
54,5,4,1,1,0,3.34,2,1,0.8,0.2,0.0
55,5,4,1,0,0,1.28,0,1,0.8,0.0,0.0
56,11,10,1,1,0,1.64,1,1,0.9090909090909091,0.09090909090909091,0.0
57,16,15,1,1,0,2.29,0,1,0.9375,0.0625,0.0
58,5,4,1,1,0,1.23,0,1,0.8,0.2,0.0
59,16,12,4,0,0,1.47,2,1,0.75,0.0,0.0
60,13,12,1,0,0,3.14,2,1,0.9230769230769231,0.0,0.0
61,10,9,1,0,0,3.34,2,1,0.9,0.0,0.0
62,8,7,1,1,0,1.02,1,1,0.875,0.125,0.0
63,18,14,4,0,0,1.01,0,1,0.7777777777777778,0.0,0.0
64,18,15,3,1,0,2.12,1,1,0.8333333333333334,0.05555555555555555,0.0
65,17,13,4,1,0,1.05,0,1,0.7647058823529411,0.058823529411764705,0.0
66,18,14,4,1,0,2.8,2,1,0.7777777777777778,0.05555555555555555,0.0
67,5,4,1,1,0,1.92,2,1,0.8,0.2,0.0
68,11,9,2,1,0,3.43,1,1,0.8181818181818182,0.09090909090909091,0.0
69,17,15,2,1,0,2.09,2,1,0.8823529411764706,0.058823529411764705,0.0
70,9,8,1,0,0,2.23,2,1,0.8888888888888888,0.0,0.0
71,9,8,1,0,0,2.43,2,1,0.8888888888888888,0.0,0.0
72,5,4,1,1,0,3.49,0,1,0.8,0.2,0.0
73,18,14,4,1,0,3.21,0,1,0.7777777777777778,0.05555555555555555,0.0
74,16,12,4,0,0,2.07,0,1,0.75,0.0,0.0
75,9,7,2,0,0,1.19,0,1,0.7777777777777778,0.0,0.0
76,17,13,4,1,0,1.67,2,1,0.7647058823529411,0.058823529411764705,0.0
77,7,6,1,1,0,1.99,0,1,0.8571428571428571,0.14285714285714285,0.0
78,10,9,1,0,0,1.24,1,1,0.9,0.0,0.0
79,19,16,3,0,0,1.64,1,1,0.8421052631578947,0.0,0.0
