citizen_id,total_reports,valid_reports,duplicate_reports,fake_image_count,avg_severity_reported,reports_last_30_days,trust_label,valid_ratio,duplicate_rate,fake_image_ratio
1,11,8,2,0,2.4,0,1,0.7272727272727273,0.18181818181818182,0.0
2,11,10,2,0,1.71,3,1,0.9090909090909091,0.18181818181818182,0.0
3,9,7,1,0,2.99,3,1,0.7777777777777778,0.1111111111111111,0.0
4,14,11,0,0,2.29,0,1,0.7857142857142857,0.0,0.0
5,16,15,2,0,2.43,2,1,0.9375,0.125,0.0
6,8,7,0,0,2.52,2,1,0.875,0.0,0.0
7,6,5,0,1,2.08,1,1,0.8333333333333334,0.0,0.16666666666666666
8,6,5,2,0,2.24,3,1,0.8333333333333334,0.3333333333333333,0.0
9,18,13,1,0,2.14,1,1,0.7222222222222222,0.05555555555555555,0.0
10,8,7,0,1,2.17,1,1,0.875,0.0,0.125
11,8,7,2,0,2.36,3,1,0.875,0.25,0.0
12,18,17,0,0,2.38,0,0,0.9444444444444444,0.0,0.0
13,16,15,0,0,1.75,2,1,0.9375,0.0,0.0
14,13,12,0,0,1.52,3,1,0.9230769230769231,0.0,0.0
15,12,11,2,0,2.89,0,1,0.9166666666666666,0.16666666666666666,0.0
16,16,14,0,0,1.64,1,1,0.875,0.0,0.0
17,18,17,2,0,2.83,1,1,0.9444444444444444,0.1111111111111111,0.0
18,9,8,1,0,2.34,0,1,0.8888888888888888,0.1111111111111111,0.0
19,11,10,0,0,1.54,1,1,0.9090909090909091,0.0,0.0
20,19,14,0,0,1.71,1,1,0.7368421052631579,0.0,0.0
21,19,16,0,0,2.4,3,1,0.8421052631578947,0.0,0.0
22,16,13,1,0,1.66,0,1,0.8125,0.0625,0.0
23,16,15,1,0,2.71,3,1,0.9375,0.0625,0.0
24,11,9,0,0,2.14,2,1,0.8181818181818182,0.0,0.0
25,13,11,2,0,2.13,2,1,0.8461538461538461,0.15384615384615385,0.0
26,7,6,2,0,2.28,3,1,0.8571428571428571,0.2857142857142857,0.0
27,5,4,0,0,1.88,3,1,0.8,0.0,0.0
28,5,3,0,1,2.41,2,1,0.6,0.0,0.2
29,10,9,0,0,1.86,0,1,0.9,0.0,0.0
30,16,13,1,0,1.62,3,1,0.8125,0.0625,0.0
31,5,3,1,0,2.98,3,1,0.6,0.2,0.0
32,19,14,0,0,2.54,1,1,0.7368421052631579,0.0,0.0
33,16,14,2,0,1.84,2,1,0.875,0.125,0.0
34,8,6,0,0,2.91,2,1,0.75,0.0,0.0
35,16,12,0,0,2.82,2,1,0.75,0.0,0.0
36,16,15,1,1,2.29,3,1,0.9375,0.0625,0.0625
37,18,16,0,0,1.78,2,1,0.8888888888888888,0.0,0.0
38,7,6,2,0,2.67,1,1,0.8571428571428571,0.2857142857142857,0.0
39,15,11,1,0,1.51,1,1,0.7333333333333333,0.06666666666666667,0.0
40,7,5,0,0,2.32,1,1,0.7142857142857143,0.0,0.0
41,17,12,0,0,1.99,1,1,0.7058823529411765,0.0,0.0
42,12,11,2,0,2.31,0,1,0.9166666666666666,0.16666666666666666,0.0
43,10,9,1,0,2.97,1,1,0.9,0.1,0.0
44,12,11,2,0,2.47,1,1,0.9166666666666666,0.16666666666666666,0.0
45,5,3,0,0,1.54,3,1,0.6,0.0,0.0
46,5,4,1,1,2.83,0,1,0.8,0.2,0.2
47,9,6,0,0,2.95,2,1,0.6666666666666666,0.0,0.0
48,19,18,0,0,1.98,0,1,0.9473684210526315,0.0,0.0
49,13,10,2,0,2.36,2,1,0.7692307692307693,0.15384615384615385,0.0
50,19,15,2,0,1.98,1,1,0.7894736842105263,0.10526315789473684,0.0
51,13,11,1,0,1.94,0,1,0.8461538461538461,0.07692307692307693,0.0
52,6,4,0,0,2.25,2,1,0.6666666666666666,0.0,0.0
53,5,4,1,0,2.83,3,1,0.8,0.2,0.0
54,6,5,2,0,2.2,2,1,0.8333333333333334,0.3333333333333333,0.0
55,17,13,1,0,1.56,3,1,0.7647058823529411,0.058823529411764705,0.0
56,15,14,0,0,1.91,0,0,0.9333333333333333,0.0,0.0
57,11,9,0,0,2.31,1,1,0.8181818181818182,0.0,0.0
58,8,7,0,1,1.98,1,1,0.875,0.0,0.125
59,19,16,1,0,1.78,0,1,0.8421052631578947,0.05263157894736842,0.0
60,19,14,0,0,1.73,1,1,0.7368421052631579,0.0,0.0
61,18,13,0,0,2.28,3,1,0.7222222222222222,0.0,0.0
62,9,7,0,0,2.35,3,1,0.7777777777777778,0.0,0.0
63,10,7,0,0,1.64,0,1,0.7,0.0,0.0
64,18,16,0,0,2.65,1,1,0.8888888888888888,0.0,0.0
65,8,6,1,0,1.57,2,1,0.75,0.125,0.0
66,8,7,2,0,2.25,2,1,0.875,0.25,0.0
67,9,6,2,0,2.38,3,1,0.6666666666666666,0.2222222222222222,0.0
68,12,10,2,0,2.72,0,1,0.8333333333333334,0.16666666666666666,0.0
69,16,14,0,1,1.81,1,1,0.875,0.0,0.0625
70,16,14,1,0,2.43,2,1,0.875,0.0625,0.0
71,14,13,0,0,2.01,1,1,0.9285714285714286,0.0,0.0
72,11,9,0,0,2.82,2,1,0.8181818181818182,0.0,0.0
73,9,6,0,0,2.63,0,1,0.6666666666666666,0.0,0.0
74,5,3,1,0,2.01,3,1,0.6,0.2,0.0
75,9,6,2,0,1.86,0,1,0.6666666666666666,0.2222222222222222,0.0
76,5,4,0,0,1.65,2,1,0.8,0.0,0.0
77,17,12,2,0,2.94,2,1,0.7058823529411765,0.11764705882352941,0.0
78,8,6,1,0,1.64,0,1,0.75,0.125,0.0
79,8,6,0,0,2.67,2,1,0.75,0.0,0.0
80,9,7,1,0,1.58,2,1,0.7777777777777778,0.1111111111111111,0.0
81,17,14,2,0,2.53,3,1,0.8235294117647058,0.11764705882352941,0.0
82,5,3,1,0,1.83,0,1,0.6,0.2,0.0
83,15,12,1,0,1.85,0,1,0.8,0.06666666666666667,0.0
84,17,12,1,0,2.86,2,1,0.7058823529411765,0.058823529411764705,0.0
85,8,7,2,0,2.34,3,1,0.875,0.25,0.0
86,14,12,2,0,1.52,0,1,0.8571428571428571,0.14285714285714285,0.0
