citizen_id,total_reports,valid_reports,duplicate_reports,fake_image_count,avg_severity_reported,reports_last_30_days,trust_label,valid_ratio,duplicate_rate,fake_image_ratio,trust_score,trust_level
1,11,8,2,0,2.4,0,1,0.7272727272727273,0.1818181818181818,0.0,0.9118324528348458,High
2,11,10,2,0,1.71,3,1,0.9090909090909092,0.1818181818181818,0.0,0.9371062102520538,High
3,9,7,1,0,2.99,3,1,0.7777777777777778,0.1111111111111111,0.0,0.8874011205739953,High
4,14,11,0,0,2.29,0,1,0.7857142857142857,0.0,0.0,0.9376736046248779,High
5,16,15,2,0,2.43,2,1,0.9375,0.125,0.0,0.9450802789390386,High
6,8,7,0,0,2.52,2,1,0.875,0.0,0.0,0.9378927087653143,High
7,6,5,0,1,2.08,1,1,0.8333333333333334,0.0,0.1666666666666666,0.9227016397875051,High
8,6,5,2,0,2.24,3,1,0.8333333333333334,0.3333333333333333,0.0,0.9014269217027007,High
9,18,13,1,0,2.14,1,1,0.7222222222222222,0.0555555555555555,0.0,0.9121131014717858,High
10,8,7,0,1,2.17,1,1,0.875,0.0,0.125,0.9360735644103343,High
11,8,7,2,0,2.36,3,1,0.875,0.25,0.0,0.9172097435490962,High
12,18,17,0,0,2.38,0,0,0.9444444444444444,0.0,0.0,0.9625591364308427,High
13,16,15,0,0,1.75,2,1,0.9375,0.0,0.0,0.9558822969368587,High
14,13,12,0,0,1.52,3,1,0.9230769230769232,0.0,0.0,0.94961145155717,High
15,12,11,2,0,2.89,0,1,0.9166666666666666,0.1666666666666666,0.0,0.948673021732034,High
16,16,14,0,0,1.64,1,1,0.875,0.0,0.0,0.9530596340793561,High
17,18,17,2,0,2.83,1,1,0.9444444444444444,0.1111111111111111,0.0,0.9497269928071418,High
18,9,8,1,0,2.34,0,1,0.8888888888888888,0.1111111111111111,0.0,0.9511393296111728,High
19,11,10,0,0,1.54,1,1,0.9090909090909092,0.0,0.0,0.9588339855701412,High
20,19,14,0,0,1.71,1,1,0.7368421052631579,0.0,0.0,0.9253111056243895,High
21,19,16,0,0,2.4,3,1,0.8421052631578947,0.0,0.0,0.9234727174845699,High
22,16,13,1,0,1.66,0,1,0.8125,0.0625,0.0,0.9463307852947538,High
23,16,15,1,0,2.71,3,1,0.9375,0.0625,0.0,0.9377886310045482,High
24,11,9,0,0,2.14,2,1,0.8181818181818182,0.0,0.0,0.9300692824127931,High
25,13,11,2,0,2.13,2,1,0.8461538461538461,0.1538461538461538,0.0,0.9281986811418111,High
26,7,6,2,0,2.28,3,1,0.8571428571428571,0.2857142857142857,0.0,0.911179977550409,High
27,5,4,0,0,1.88,3,1,0.8,0.0,0.0,0.9198840143399338,High
28,5,3,0,1,2.41,2,1,0.6,0.0,0.2,0.8042272560258272,High
29,10,9,0,0,1.86,0,1,0.9,0.0,0.0,0.9604169968465163,High
30,16,13,1,0,1.62,3,1,0.8125,0.0625,0.0,0.9227889571495108,High
31,5,3,1,0,2.98,3,1,0.6,0.2,0.0,0.7979748069233077,Medium
32,19,14,0,0,2.54,1,1,0.7368421052631579,0.0,0.0,0.9138990372608652,High
33,16,14,2,0,1.84,2,1,0.875,0.125,0.0,0.9392157710201539,High
34,8,6,0,0,2.91,2,1,0.75,0.0,0.0,0.9008739210508708,High
35,16,12,0,0,2.82,2,1,0.75,0.0,0.0,0.902360898656603,High
36,16,15,1,1,2.29,3,1,0.9375,0.0625,0.0625,0.9356652849711818,High
37,18,16,0,0,1.78,2,1,0.8888888888888888,0.0,0.0,0.9478937847563467,High
38,7,6,2,0,2.67,1,1,0.8571428571428571,0.2857142857142857,0.0,0.9255124414159396,High
39,15,11,1,0,1.51,1,1,0.7333333333333333,0.0666666666666666,0.0,0.9231914630188519,High
40,7,5,0,0,2.32,1,1,0.7142857142857143,0.0,0.0,0.9108983214883047,High
41,17,12,0,0,1.99,1,1,0.7058823529411765,0.0,0.0,0.9134784285686324,High
42,12,11,2,0,2.31,0,1,0.9166666666666666,0.1666666666666666,0.0,0.9536855846465077,High
43,10,9,1,0,2.97,1,1,0.9,0.1,0.0,0.9408733221206628,High
44,12,11,2,0,2.47,1,1,0.9166666666666666,0.1666666666666666,0.0,0.9459849276677106,High
45,5,3,0,0,1.54,3,1,0.6,0.0,0.0,0.8591020180088617,High
46,5,4,1,1,2.83,0,1,0.8,0.2,0.2,0.8937118943650512,High
47,9,6,0,0,2.95,2,1,0.6666666666666666,0.0,0.0,0.8709537355208804,High
48,19,18,0,0,1.98,0,1,0.9473684210526316,0.0,0.0,0.9654943600294377,High
49,13,10,2,0,2.36,2,1,0.7692307692307693,0.1538461538461538,0.0,0.9045395197087136,High
50,19,15,2,0,1.98,1,1,0.7894736842105263,0.1052631578947368,0.0,0.928401532580977,High
51,13,11,1,0,1.94,0,1,0.8461538461538461,0.0769230769230769,0.0,0.9489615446553173,High
52,6,4,0,0,2.25,2,1,0.6666666666666666,0.0,0.0,0.8849131714298885,High
53,5,4,1,0,2.83,3,1,0.8,0.2,0.0,0.8906964260179795,High
54,6,5,2,0,2.2,2,1,0.8333333333333334,0.3333333333333333,0.0,0.9131522775576765,High
55,17,13,1,0,1.56,3,1,0.7647058823529411,0.0588235294117647,0.0,0.9112263166983559,High
56,15,14,0,0,1.91,0,0,0.9333333333333332,0.0,0.0,0.964280872221907,High
57,11,9,0,0,2.31,1,1,0.8181818181818182,0.0,0.0,0.9363270045492592,High
58,8,7,0,1,1.98,1,1,0.875,0.0,0.125,0.9381589056271621,High
59,19,16,1,0,1.78,0,1,0.8421052631578947,0.0526315789473684,0.0,0.9506708395819657,High
60,19,14,0,0,1.73,1,1,0.7368421052631579,0.0,0.0,0.9250532415846652,High
61,18,13,0,0,2.28,3,1,0.7222222222222222,0.0,0.0,0.8904652837348445,High
62,9,7,0,0,2.35,3,1,0.7777777777777778,0.0,0.0,0.9068585325343248,High
63,10,7,0,0,1.64,0,1,0.7,0.0,0.0,0.9264704966931534,High
64,18,16,0,0,2.65,1,1,0.8888888888888888,0.0,0.0,0.9463953005284823,High
65,8,6,1,0,1.57,2,1,0.75,0.125,0.0,0.9131604687842092,High
66,8,7,2,0,2.25,2,1,0.875,0.25,0.0,0.92808442669583,High
67,9,6,2,0,2.38,3,1,0.6666666666666666,0.2222222222222222,0.0,0.8454155729286891,High
68,12,10,2,0,2.72,0,1,0.8333333333333334,0.1666666666666666,0.0,0.9345273407314492,High
69,16,14,0,1,1.81,1,1,0.875,0.0,0.0625,0.946092736503582,High
70,16,14,1,0,2.43,2,1,0.875,0.0625,0.0,0.9358167576061686,High
