incident_id,severity_label,severity_score,area_load,available_teams,team_skill_match,historical_team_performance,citizen_trust_score,priority_level,assigned_team,suggested_resources
1,Low,0.3,0.22,4,0.72,0.69,0.73,P3,Team_B,Low
2,Medium,0.6,0.21,4,0.86,0.8,0.31,P2,Team_A,Medium
3,High,0.9,0.24,3,0.6,0.6,0.45,P2,Team_B,Medium
4,Low,0.3,0.28,3,0.89,0.68,0.86,P3,Team_A,Low
5,Low,0.3,0.34,3,0.7,0.64,0.53,P3,Team_C,Low
6,Low,0.3,0.83,1,0.78,0.75,0.38,P2,Team_A,Medium
7,Low,0.3,0.33,1,0.9,0.74,0.87,P3,Team_A,Low
8,Low,0.3,0.22,4,0.72,0.68,0.59,P3,Team_A,Low
9,Medium,0.6,0.48,4,0.41,0.92,0.33,P2,Team_A,Medium
10,High,0.9,0.43,2,0.89,0.69,0.56,P2,Team_B,Medium
11,Medium,0.6,0.3,2,0.74,0.69,0.96,P2,Team_C,Medium
12,High,0.9,0.61,2,0.5,0.54,0.5,P1,Team_C,High
13,Medium,0.6,0.48,3,0.67,0.9,0.61,P2,Team_A,Medium
14,Low,0.3,0.41,4,0.79,0.93,0.99,P2,Team_C,Medium
15,High,0.9,0.62,4,0.84,0.84,0.82,P1,Team_A,High
16,High,0.9,0.54,3,0.98,0.55,0.48,P2,Team_B,Medium
17,High,0.9,0.15,1,0.95,0.73,0.32,P2,Team_B,Medium
18,Low,0.3,0.48,1,0.75,0.96,0.49,P2,Team_A,Medium
19,Medium,0.6,0.65,4,0.59,0.8,0.32,P2,Team_A,Medium
20,Low,0.3,0.2,3,0.49,0.42,0.47,P3,Team_C,Low
21,High,0.9,0.71,4,0.9,0.36,0.78,P1,Team_C,High
22,High,0.9,0.44,3,0.97,0.81,0.89,P2,Team_B,Medium
23,Low,0.3,0.85,3,0.68,0.84,0.59,P2,Team_B,Medium
24,Low,0.3,0.63,3,0.69,0.8,0.57,P2,Team_A,Medium
25,High,0.9,0.57,3,0.65,0.43,0.38,P2,Team_A,Medium
26,Medium,0.6,0.65,3,0.74,0.56,0.4,P2,Team_A,Medium
27,Low,0.3,0.76,4,0.92,0.41,0.48,P2,Team_B,Medium
