incident_id,severity_label,severity_score,area_load,available_teams,team_skill_match,historical_team_performance,citizen_trust_score,reports_nearby_1h,priority_score,priority_level,assigned_team,suggested_resources,resources_count
1,Low,0.3,0.22,4,0.72,0.69,0.73,1,0.273,P3,Team_B,Low,1
2,Low,0.3,0.56,3,0.46,0.77,0.69,1,0.335,P3,Team_C,Low,1
3,Medium,0.6,0.31,2,0.68,0.91,0.61,4,0.488,P2,Team_B,Medium,2
4,Low,0.3,0.6,4,0.9,0.89,0.44,8,0.352,P3,Team_B,Low,1
5,Low,0.3,0.83,1,0.78,0.75,0.38,3,0.523,P2,Team_B,Medium,2
6,Medium,0.6,0.35,2,0.68,0.71,0.93,1,0.489,P2,Team_A,Medium,2
7,Medium,0.6,0.51,1,0.87,0.73,0.35,2,0.496,P2,Team_C,Medium,2
8,Low,0.3,0.67,1,0.73,0.34,0.81,4,0.442,P2,Team_B,Medium,2
9,Low,0.3,0.62,3,0.71,0.79,0.45,3,0.381,P3,Team_B,Low,1
10,Low,0.3,0.84,4,0.85,0.67,0.96,3,0.474,P2,Team_B,Medium,3
11,High,0.9,0.22,3,0.55,0.73,0.92,5,0.551,P2,Team_B,Medium,2
12,High,0.9,0.66,2,0.68,0.82,0.52,4,0.637,P2,Team_B,Medium,3
13,Low,0.3,0.12,2,0.66,0.85,0.94,7,0.206,P3,Team_B,Low,1
14,Medium,0.6,0.42,2,0.87,0.55,0.34,6,0.491,P2,Team_A,Medium,3
15,Low,0.3,0.36,3,0.91,0.53,0.95,5,0.255,P3,Team_C,Low,1
16,Low,0.3,0.46,2,0.86,0.83,0.95,8,0.345,P3,Team_C,Low,1
17,Low,0.3,0.3,4,0.81,0.31,0.78,2,0.261,P3,Team_C,Low,1
18,Medium,0.6,0.6,1,0.24,0.54,0.91,4,0.557,P2,Team_C,Medium,3
19,Low,0.3,0.05,4,0.84,0.72,0.85,1,0.263,P3,Team_B,Low,1
20,High,0.9,0.56,2,0.81,0.91,0.96,3,0.565,P2,Team_A,Medium,2
21,Low,0.3,0.18,1,0.78,0.84,0.97,3,0.238,P3,Team_B,Low,1
22,High,0.9,0.74,1,0.45,0.27,0.43,3,0.748,P1,Team_C,High,4
23,Low,0.3,0.41,1,0.56,0.24,0.33,0,0.449,P2,Team_C,Medium,2
24,Low,0.3,0.35,1,0.68,0.65,0.56,1,0.349,P3,Team_B,Low,1
25,High,0.9,0.15,4,0.8,0.75,0.73,4,0.623,P2,Team_A,Medium,3
26,Low,0.3,0.72,3,0.73,0.78,0.71,3,0.456,P2,Team_C,Medium,3
27,Medium,0.6,0.32,1,0.9,0.87,0.65,1,0.437,P2,Team_B,Medium,2
28,Medium,0.6,0.24,1,0.87,0.84,0.56,2,0.491,P2,Team_B,Medium,2
29,High,0.9,0.55,3,0.67,0.28,0.65,1,0.761,P1,Team_C,High,5
30,Medium,0.6,0.43,4,0.94,0.83,0.5,2,0.469,P2,Team_B,Medium,2
31,Low,0.3,0.38,2,0.75,0.66,0.43,3,0.36,P3,Team_C,Low,1
32,Low,0.3,0.35,2,0.85,0.86,0.54,6,0.447,P2,Team_B,Medium,2
33,Medium,0.6,0.65,2,0.71,0.73,0.78,5,0.441,P2,Team_A,Medium,2
34,Medium,0.6,0.62,3,0.73,0.48,0.41,3,0.584,P2,Team_C,Medium,3
35,High,0.9,0.3,4,0.94,0.34,0.72,6,0.595,P2,Team_A,Medium,2
36,Low,0.3,0.12,4,0.57,0.8,0.43,3,0.257,P3,Team_B,Low,1
37,Low,0.3,0.56,1,0.85,0.38,0.32,3,0.346,P3,Team_C,Low,1
38,Medium,0.6,0.15,3,0.82,0.64,0.51,4,0.445,P2,Team_A,Medium,2
39,Low,0.3,0.43,3,0.34,0.6,0.46,1,0.355,P3,Team_B,Low,1
40,High,0.9,0.33,4,0.83,0.71,0.36,1,0.644,P2,Team_A,Medium,2
41,High,0.9,0.56,3,0.88,0.25,0.51,4,0.757,P1,Team_A,High,4
42,Medium,0.6,0.38,1,0.94,0.92,0.76,2,0.476,P2,Team_B,Medium,2
43,Low,0.3,0.81,1,0.77,0.84,0.47,2,0.357,P3,Team_B,Low,1
44,High,0.9,0.93,3,0.73,0.67,0.81,3,0.76,P1,Team_C,High,6
45,Low,0.3,0.76,1,0.63,0.68,0.89,2,0.411,P3,Team_C,Low,1
46,Low,0.3,0.56,1,0.72,0.67,0.38,2,0.359,P3,Team_B,Low,1
47,Medium,0.6,0.66,1,0.77,0.75,0.55,7,0.646,P2,Team_B,Medium,3
48,Low,0.3,0.27,1,0.95,0.55,0.96,2,0.237,P3,Team_C,Low,1
49,Low,0.3,0.74,2,0.76,0.41,0.92,4,0.358,P3,Team_C,Low,1
50,Medium,0.6,0.95,1,0.55,0.96,0.81,1,0.485,P2,Team_B,Medium,3
51,Low,0.3,0.65,4,0.45,0.72,0.89,4,0.335,P3,Team_C,Low,1
52,High,0.9,0.15,2,0.74,0.59,0.37,6,0.767,P1,Team_C,High,5
53,High,0.9,0.7,2,0.67,0.8,0.53,4,0.661,P1,Team_B,High,6
54,High,0.9,0.38,3,0.69,0.79,0.93,1,0.608,P2,Team_B,Medium,3
55,Medium,0.6,0.72,1,0.67,0.7,0.64,1,0.58,P2,Team_C,Medium,3
56,Medium,0.6,0.79,1,0.28,0.88,0.81,6,0.557,P2,Team_B,Medium,2
57,Medium,0.6,0.23,4,0.74,0.86,0.79,1,0.434,P2,Team_B,Medium,2
58,Medium,0.6,0.26,2,0.69,0.52,0.64,0,0.525,P2,Team_C,Medium,3
59,Medium,0.6,0.36,3,0.72,0.89,1.0,4,0.488,P2,Team_B,Medium,2
60,Medium,0.6,0.27,4,0.77,0.63,0.6,3,0.474,P2,Team_A,Medium,3
61,Medium,0.6,0.31,3,0.34,0.8,0.72,2,0.384,P3,Team_B,Low,1
62,Low,0.3,0.67,4,0.93,0.61,0.47,3,0.39,P3,Team_B,Low,1
63,Medium,0.6,0.76,4,0.81,0.62,0.52,1,0.521,P2,Team_C,Medium,3
64,High,0.9,0.44,3,0.41,0.67,0.81,1,0.635,P2,Team_C,Medium,3
65,Medium,0.6,0.59,2,0.65,0.94,0.72,4,0.549,P2,Team_B,Medium,2
66,Medium,0.6,0.3,2,0.84,0.31,0.69,4,0.512,P2,Team_C,Medium,3
67,Medium,0.6,0.45,4,0.88,0.74,0.97,0,0.487,P2,Team_A,Medium,3
68,High,0.9,0.59,1,0.5,0.84,0.58,4,0.699,P1,Team_B,High,6
69,Medium,0.6,0.32,4,0.68,0.54,0.66,4,0.503,P2,Team_A,Medium,3
70,Low,0.3,0.43,1,0.88,0.78,0.37,0,0.357,P3,Team_B,Low,1
71,Low,0.3,0.82,1,0.76,0.88,0.99,1,0.375,P3,Team_B,Low,1
72,High,0.9,0.57,1,0.9,0.77,0.92,3,0.69,P1,Team_A,High,5
73,Low,0.3,0.13,1,0.72,0.52,0.77,4,0.267,P3,Team_B,Low,1
74,Medium,0.6,0.23,2,0.8,0.62,0.48,1,0.475,P2,Team_A,Medium,2
75,Low,0.3,0.55,3,0.98,0.51,0.67,2,0.401,P3,Team_C,Low,1
76,Low,0.3,0.31,4,0.78,0.94,0.88,4,0.313,P3,Team_B,Low,1
77,High,0.9,0.4,2,0.85,0.25,0.43,3,0.692,P1,Team_A,High,4
78,Low,0.3,0.22,4,0.89,0.68,0.81,4,0.229,P3,Team_C,Low,1
79,High,0.9,0.52,3,0.87,0.89,0.74,1,0.635,P2,Team_A,Medium,2
80,Medium,0.6,0.68,4,0.67,0.76,0.87,1,0.471,P2,Team_B,Medium,3
81,Low,0.3,0.33,3,0.61,0.64,0.82,3,0.178,P3,Team_B,Low,1
82,Low,0.3,0.41,3,0.66,0.7,0.85,3,0.265,P3,Team_C,Low,1
83,Medium,0.6,0.41,2,0.72,0.77,0.41,0,0.505,P2,Team_B,Medium,2
84,Low,0.3,0.55,1,0.89,0.5,0.98,3,0.376,P3,Team_C,Low,1
85,Medium,0.6,0.7,3,0.84,0.54,0.37,3,0.66,P1,Team_C,High,4
86,High,0.9,0.5,1,0.6,0.78,0.83,0,0.707,P1,Team_B,High,4
87,Low,0.3,0.5,3,0.84,0.87,0.57,2,0.255,P3,Team_B,Low,1
88,Low,0.3,0.7,1,0.58,0.9,0.65,1,0.396,P3,Team_B,Low,1
89,Medium,0.6,0.31,1,0.67,0.62,0.85,1,0.431,P2,Team_A,Medium,3
90,Medium,0.6,0.89,1,0.34,0.84,0.64,4,0.515,P2,Team_B,Medium,2
91,Medium,0.6,0.81,4,0.86,0.75,0.56,3,0.629,P2,Team_B,Medium,2
92,Medium,0.6,0.68,4,0.53,0.57,0.81,2,0.538,P2,Team_A,Medium,3
93,High,0.9,0.17,1,0.62,0.76,0.62,4,0.493,P2,Team_B,Medium,2
94,Medium,0.6,0.34,3,0.84,0.57,0.44,7,0.494,P2,Team_A,Medium,3
95,Medium,0.6,0.37,4,0.67,0.72,0.83,3,0.466,P2,Team_C,Medium,3
96,Medium,0.6,0.9,3,0.86,0.81,0.73,3,0.592,P2,Team_B,Medium,3
97,High,0.9,0.28,4,0.56,0.77,0.9,4,0.586,P2,Team_B,Medium,2
98,Medium,0.6,0.43,2,0.88,0.69,0.82,6,0.514,P2,Team_C,Medium,2
99,Medium,0.6,0.29,4,0.75,0.72,0.59,4,0.467,P2,Team_A,Medium,3
100,Medium,0.6,0.68,1,0.86,0.56,0.94,2,0.504,P2,Team_A,Medium,3
101,Medium,0.6,0.74,2,0.75,0.79,0.35,3,0.519,P2,Team_B,Medium,3
102,Low,0.3,0.15,3,0.61,0.82,0.67,0,0.17,P3,Team_B,Low,1
